,column,min,q1,mean,q3,max,std,var
0,ammonium_900,0.0,0.02,0.09717410605347554,0.11,2.48,0.14480407784175206,0.020968220959600187
1,conductivity_900,192.0,491.0,851.2375969440668,1120.0,2698.0,490.73460827135307,240820.45575523833
2,dissolved_oxygen_900,0.2,6.2,7.859471279544032,9.5,18.0,2.0582180237528322,4.2362614333010145
3,pH_900,6.03,7.81,7.992735077651116,8.18,9.14,0.27589435659886985,0.07611769600310435
4,turbidity_900,0.0,6.0,17.793495727445443,20.0,1308.96,20.095827528492165,403.84228405490353
5,water_temperature_900,1.8,10.6,16.354108308495427,22.1,29.8,6.300458699579245,39.69577982510379
6,ammonium_901,0.0,0.02,0.06400677331743508,0.09,1.43,0.060918439260326925,0.0037110562419141405
7,conductivity_901,192.0,400.92,484.4835677911368,564.0,1337.0,108.58952377894819,11791.684674538754
8,dissolved_oxygen_901,0.9,5.9,7.619786657061473,9.3,15.5,2.0837689468924996,4.342093024033478
9,pH_901,6.03,7.67,7.890425692236352,8.1,8.67,0.3119811637328612,0.09733224652411035
10,turbidity_901,0.0,7.0,12.742393266428191,15.0,351.95,11.582571687557389,134.15596689740602
11,water_temperature_901,1.8,8.9,15.016666356153948,21.0,29.8,6.4490244895281394,41.58991686653368
12,ammonium_906,0.0,0.01,0.03221844694143977,0.04,0.53,0.029751911202183602,0.0008851762201826181
13,conductivity_906,400.0,799.0,1034.8261936039103,1245.0,1822.0,283.2345408843191,80221.805149951
14,dissolved_oxygen_906,2.4,6.4,7.984858009293796,9.6,14.92,1.9853366114168718,3.941561460632227
15,pH_906,7.51,8.0,8.134814570900161,8.27,8.86,0.2031787420054002,0.04128160120289698
16,turbidity_906,0.0,4.0,7.485820686466494,8.0,313.0,7.8650395134752715,61.85884654852733
17,water_temperature_906,7.6,12.9,18.605322038573924,24.4,29.8,5.957978502923402,35.497507841297384
18,ammonium_905,0.0,0.12,0.27469551081980853,0.37,2.48,0.2214995768988293,0.049062062566360386
19,conductivity_905,352.0,991.0,1466.5102676862257,1901.0,2698.0,534.9942618176397,286218.8601778012
20,dissolved_oxygen_905,0.2,6.0,7.819316687473992,9.7,16.4,2.341696425332322,5.483542148414175
21,pH_905,7.32,7.86,8.034288883687058,8.19,9.14,0.24413571137355033,0.05960224556786948
22,turbidity_905,0.0,21.0,41.455070718893055,58.0,252.0,27.519802668257896,757.3395388998545
23,water_temperature_905,2.0,10.0,15.988093320848947,22.1,29.1,6.3465669708308665,40.27891231524128
24,ammonium_907,0.0,0.02,0.055738558201058205,0.07,2.04,0.06273868553460157,0.003936142662609624
25,conductivity_907,231.0,430.0,511.96504098324516,583.0,1050.0,104.9853748338622,11021.928929006546
26,dissolved_oxygen_907,2.7,6.6,8.006474140211639,9.4,18.0,1.8162581338131918,3.298793608642578
27,pH_907,6.42,7.74,7.905236155202823,8.08,8.74,0.252747901533567,0.0638815017296217
28,turbidity_907,0.0,8.0,14.814086904761908,17.0,1308.96,12.179190344995755,148.3326774596378
29,water_temperature_907,5.1,10.0,15.533979188712518,21.0,28.6,5.788477272861304,33.50646913843184
